,index,ENC0,ENC1,ENC2,ENC3,ENC4
0,mount 1,77.5,83.0,56.3,209.0,181.3
1,mount 2,549.1,615.7,377.7,541.9,996.1
2,mount 1 без d/0,80.6,83.5,66.1,137.4,149.2
3,mount 2 без d/0,700.5,728.1,436.7,1168.2,1047.1
4,mount 2 (обуч_предск),195.4,117.0,98.6,96.5,82.1
5,mount 1 (предск),415.9,803.1,1509.4,1324.5,741.3
6,mount 2 (обуч_предск) без d/0,147.3,124.3,83.0,85.0,106.6
7,mount 1 (предск) без d/0,577.6,691.1,781.2,3081.1,2152.2
8,mount 2+1,178.3,204.4,106.9,479.7,486.3
9,mount 2+1 без d/0,108.2,115.6,99.8,377.0,494.1
10,mount 2+1 c преобразованием,166.5,182.8,123.8,298.5,391.8
11,mount 2+1 c преобразованием без d/o,105.4,185.4,94.8,195.5,406.6
